원본,라벨,독어_역번역
네 뭐 드릴까요? 말보르 레드 하나. 네. 여기요! 여기 사장은 없어? 네 사장님 지금 안계세요. 뭐 .찾으세요? 지금부터 내 말 잘들어. 여기 주머니에 있는 돈 다 담아. 네?? 왜 이러세요!! 입닥쳐. 빨리 사람 오기전에 돈이나 쓸어담어. .살려만 주세요 제발 제대로 안하면 패버릴거니까 빨리빨리 해라. 네.여기요. 진작 이렇게 빨리 줄것이지. 경찰 신고하면 알지?,갈취 대화,"응, 무엇을 드릴까요? 말보르 레드. 예. 여기! 여기 사장님 없나요? 네, 사장님 지금은 안 계십니다. 무엇을 찾고 계신가요? 이제부터 내 말을 잘 들어보세요. 여기 주머니에 모든 돈을 넣으세요. 예?? 왜 이러세요!! 입을 다물고 있으세요. 사람들이 오기 전에 빨리 돈을 벌어보세요. .저를 좀 살려주세요. 제대로 안 하면 때릴 테니까 빨리 해라. 네, 여기요. 그렇게 빨리 나한테 줬어야 했는데. 경찰에 신고하면 알지?"
이대리 오늘 도대체 뭘한거야? 창고정리도 하고 바닥도 청소했습니다 이게 한거니? 네 열심히 했습니다 왜 이건 복사 안해놨니? 아까 하라고 안하셨는데요 내가? 아까 말했는데 너가 못들었어 귀 이니? 아닙니다. 지금 당장 하겠습니다 물도 새로 받아와 이걸 먹으라고 한거니? 죄송합니다,직장 내 괴롭힘 대화,"이과장님 오늘 대체 뭐하셨어요? 캠프를 정리하고 바닥을 청소했습니다. 당신이 그랬나요? 네, 최선을 다했습니다. 왜 복사하지 않았나요? 전에는 나한테 하라고 말하지 않았죠? 아까도 말했는데 넌 못 들었지? 당신은 귀입니까? 아니요. 즉시 할게요. 새 물을 길어서 마시라 하였느냐? 실례합니다"
네네 무슨 일 때문에 전화주셨나요? 우리 애가 지우개 하나 훔친거 가지고 애들 앞에서 면박줬니? 그런게 아니고 댁 내 따님분이 한 두번 훔친것도 아니고 여러번 훔친 게 확인 되어서 경찰부르는건 너무 심할거 같아서 꾸중 한 마디 한겁니다. 아니 그 구멍가게 물건이 얼마 한다고 그러냐고 내 애가 맨날 훔친거 확실해? 네 본 애들도 있고 확실합니다 됐고 내 애 울면서 하교 했어 이번 일 각오하는 게 좋을거야 너도 애 있다며? 제 애까지 끌어들이지 마세요 내 애도 울면서 들어왔는데 그냥 못 넘어가 니 애 죽여버릴거야 이러지 마세요 저도 곤란합니다. 단지 교육 차원에서 한 마디 했을 뿐이라고요 됐고 아 저기 네 애 보이네 죽여버릴테니까 니 아들 죽은거 보고 그때 반성해 남 애 함부로 울리면 어떻게 되는지,협박 대화,"응, 왜 나한테 전화했어? 지우개를 훔쳤다고 아이들 앞에서 우리 아이를 비난했나요? 그게 아닙니다. 딸이 한두 번이 아니라 여러 번 훔친 것을 확인했습니다. 경찰에 신고하는 것은 너무 가혹한 일이라고 생각해서 그녀를 꾸짖었습니다. 우리 아이가 항상 모퉁이 가게에서 물건을 훔치고 있다는 것이 확실합니까? 네, 분명 본 아이들도 있을 거예요. 괜찮아요. 우리 아이는 울면서 학교를 나갔습니다. 이에 대비하는 것이 좋습니다. 당신에게도 아이가 있다고 했죠? 내 아이를 이런 일에 끌어들이지 마세요. 아이가 울면서 들어왔어요. 이겨내지 못하면 네 아이를 죽이겠다. 그러지 마세요 나도 곤란해요 나는 단지 설명을 위해 뭔가를 말했습니다. 그게 다야. 아, 저기 당신 아이가 보이네요. 나는 그를 죽일 것이다. 당신 아들이 죽은 걸 보면 생각해볼 거예요. 다른 사람을 울게 만들면 어떻게 되나요?"
형! 형! 돈좀있어? 저 저요.? 여기 형말고 누가 있어? 형 얼마 있어? 저.저.돈 없어요.근데.제가 왜 형이에요? 에이 잘 생겼으니까 형이지. 형 돈 좀만 주면 안때릴게 좀만 줘봐. 돈 많게 생겼네 저 진짜 현금 없어요.진짜요.놔주세요. 에이 지갑 주머니에 있네! 내가 지갑 뒤져봐도 돼? 뒤져서 나오면 어떻게 하려고? 그냥 줘 저 진짜로 없어요.죄송해요. 나 진짜 지갑 연다? 내가 말로만 이러니까 우스워? 지갑에도 돈 없어요 죄송해요.,갈취 대화,"형제! 형제! 돈 좀 있어요? 나, 나.? 여기 너 말고 또 누가 있어? 형, 얼마 갖고 있어요? 나는 돈이 없습니다. 그런데 내가 왜 네 동생이야? 아, 잘생겼으니까 내 동생이구나. 돈 좀 주면 때리지 않을 거예요. 돈 좀 주세요. 당신은 돈이 많은 것 같습니다. 정말 현금이 없어요. 정말. 저를 보내주세요. 내 지갑 주머니에 있어요! 지갑을 확인해도 될까요? 나가면 무엇을 할 건가요? 그냥 나한테 주세요. 정말 하나도 없어요. 죄송합니다. 나는 정말 지갑을 열고 있는 걸까? 내가 그런 말을 하는 게 웃기냐? 미안 지갑에 돈이 하나도 없어."
김사원 대리님 왜 그러세요? 이거 오늘까지 제출해야 하는데 좀 해줄래? 네? 저도 해야 할 일이 많아서요. 아니 좀 도와달라잖아 그것도 못 해줘? 저도 도와드리고 싶은데 할 일이 많아서요. 너랑 나랑 얼굴 맞대고 일해야 하는데 감당할 수 있겠어? 네? 감당할 수 있으면 하지 말든가 아닙니다 제가 하겠습니다.,직장 내 괴롭힘 대화,"김사원 대리, 왜 이러는 걸까요? 오늘까지 이걸 제출해야 해요. 부탁드려도 될까요? 예? 나도 할 일이 많다. 아니, 도와달라고 하는데 그렇게도 못 하시나요? 나도 도와주고 싶지만 할 일이 너무 많다. 당신과 나는 얼굴을 맞대고 함께 일해야 합니다. 처리할 수 있나요? 예? 감당할 수 있으면 할 수도 있고 안 할 수도 있습니다. 나는 그것을 할 것이다."
야 너 휴대폰좀 빌려줘봐 안돼. 지난달에도 휴대폰 요금이 너무 많이 나와서 엄마한테 혼났어. 알 바야? 닥치고 폰이나 내놔 폰 주면 또 결제하려고 그러지? 응 게임 캐시 다떨어져서 충전좀 안돼 진짜. 맞고 줄래 그냥 줄래? 진짜 한번만 더 결제한거 들켰다가는 휴대폰 뺏길지도 몰라 아 씨 오늘따라 왜이렇게 말이 많아 당장 안내놔? 제발.,갈취 대화,"저기, 휴대폰 좀 빌려주실 수 있나요? 지난 달에 어머니는 휴대폰 요금이 너무 비싸다고 나를 꾸짖으셨습니다. 당신은 무엇을 알고 있나요? 닥치고 전화기 좀 줘 내 휴대폰 주면 또 돈 내는 거 맞죠? 네, 게임캐시가 비어있어서 충전이 안되네요. 즉시 나에게 주실래요? 그냥 나한테 줄래? 진지하게, 내가 또 돈을 내는 걸 적발하면 내 휴대폰을 압수당할 수도 있어요. 아, 오늘 왜 그렇게 말이 많아? 바로 말해볼까? 제발."
잠깐만 거기 학생 예? 저 부르셨너요? 그럼 누구겠어 왜부르시죠 내가 지갑을 잃어버려서 돈이없다 돈좀 있녀 아니요 현금없어요 주머니에 있는거 열어봐 이건 안되요 그건 내가 판단해 내놔봐 이건 제돈아니에요 이리 안줘? 좀 맞을래? 그건 정말 제돈 아니에요,갈취 대화,"잠깐만요, 거기 학생이세요? 나한테 전화했어? 그렇다면 누구입니까? 왜 나한테 전화하는 거야? 지갑을 잃어버렸고 돈이 없어요. 돈 좀 있어요? 아니요, 현금이 없어요. 가방 안에 있는 것을 열어보세요. 이것은 불가능합니다. 나는 그것을 결정할 것이다. 나에게 주세요. 그건 내 돈이 아니야. 나한테 주지 그래? 히트를 원하시나요? 정말 내 돈이 아니야"
얼마 가져왔어? 십만원 정도. 야 이걸로 새 폰을 어떻게 사 이게 최선이었어. 그럼 최선을 다해 맞자 너 제발 때리지만 마! 그럼 내일까지 3배로 만들어 와 그걸 어떻게. 아 그건 네가 생각해야지 말도 안돼.,갈취 대화,"얼마를 가지고 왔나요? 100,000원 ??정도. 안녕하세요, 새 휴대폰을 구입하는 데 이 돈을 어떻게 사용할 수 있나요? 그것이 최선의 선택이었습니다. 그럼 최선을 다해 그를 이겨봅시다. 제발 저를 이기지 마세요! 그러면 내일까지 그 일을 세 배로 하세요. 어떻게 합니까? 아, 그건 생각해봐야 해요. 말도 안 돼요."
야 너이마빡에 빛이난다 어? 야 한대만 때려보자 퍽 아 흑 왜그래 아팠어? 빛이나길래 두드려봤다 가만히있어봐 퍽퍽 야 두드리니깐 열리겠는데? 빛이 나다 열리나? 뭔소리야 저리치워 너 서운하게 왜그러냐 친구사이에 퍽퍽퍽 야 너 미쳤어? 야 광이난다 이마빡 참 예뻐 흑흑흑,기타 괴롭힘 대화,"야, 이마에서 빛나지? 야, 한 번 때려보자. 퍽. 아, 검정색. 왜 그렇게 아팠나요? 가벼워서 노크했어요. 가만히 있어라. 야, 두드리면 열릴까? 빛이 열리나요? 무슨 얘기를 하는 건가요? 나에게서 떨어져. 왜 그렇게 슬퍼합니까? 당신은 친구들 사이에서 미쳤어요. 제정신이에요? 이야, 반짝반짝하다. 이마가 너무 예쁘네요. 블랙, 다크, 블랙."
나씨 정수기 물탱크 좀 갈아주시겠어요? 싫습니다. 물 저만 마시는 것도 아닌데 매번 저만 하잖아요. 나씨가 저희 부서 유일한 남자직원이잖아요. 그러니까요 저 일꾼 아니고 직원입니다. 그래서 못해주겠다는 건가요? 그런게 아니고 매번 저만 물탱크 갈고 짐 나르는데 부당하다는 겁니다. 나씨가 남자직원이니까 힘도 제일 세고 먹는 양도 저희 여직원보다 더 많을 거 아니에요? 저 정수기 거의 안씁니다. 물 싸가지고 다녀요. 하 그러고도 이 팀에서 잘 어울릴 수 있을까요? 왕따시키겠다는거에요?,직장 내 괴롭힘 대화,"나시스 정수기 물탱크를 교체해 주실 수 있나요? 나는 그것을 좋아하지 않는다. 나만 물을 마시는 것은 아니지만, 항상 물을 마신다. 나씨는 우리 부서의 유일한 남자 직원이다. 그래서 저는 노동자가 아니고 직원입니다. 그럼 안 할 거라는 겁니까? 그게 아니고 매번 물통을 갈아주고 짐을 나르는 사람이 나뿐이라 억울하다는 뿐입니다. 나씨는 남자 직원이니까 우리 여자 직원들보다 힘도 세고 밥도 더 많이 먹는 것 아닌가? 저는 이 정수기를 거의 사용하지 않습니다. 나는 물을 가지고 다닙니다. 하, 그래도 이 팀에 잘 어울릴까? 나를 괴롭히려는 겁니까?"
너가 민수라는 남자 제자니? 네 맞는데요 왜 그러시죠? 혹시 저희 선생님께 무슨 일 생겼나요? 무슨 일은 그냥 선생님 콩팥 하나 정도 가져가려고 네.? 장난치시지 마세요. 장난이 너무 심하신 거 아니신가요? 아 어린애라 그런지 상황 판단 못하네 사진 보내 줄 테니 봐봐 장난인지 아닌지 어.? 왜 그러시는 건가요 신고 할 거예요 당장 신고 할 거예요. 신고해보던지 어딘지는 알고 신고하게? 저한테 원하시는 거 있으시면 최대한 할게요 선생님 해치지 말아주세요 그럼 내가 말하는 거 가져다 주기만 해 그러면 그냥 깔끔하게 끝날 일이야 그렇게 하도록 할게요 바로 할게요,협박 대화,"당신은 민수라는 사람의 제자입니까? 네, 맞습니다. 왜 그런 말을 합니까? 우리 선생님한테 무슨 일이라도 생긴 걸까요? 선생님, 신장을 빼내는데 무슨 문제가 있나요? 엉망으로 만들지 마십시오. 너 너무 장난치는 거 아냐? 아, 아무래도 제가 어려서 상황을 판단을 못하겠네요. 농담인지 아닌지 한번 보시고 확인하라고 사진 보내드리는 거겠죠? 왜 이러는 걸까요? 신고하겠습니다. 바로 신고하겠습니다. 신고해야 할까요, 아니면 어디서 알아보고 신고해야 할까요? 나에게 원하는 것이 있다면 최선을 다하겠습니다. 아프지 마세요 선생님. 그럼 제가 무슨 말을 하는지 말씀만 하시면 깔끔하게 끝나겠습니다. 나는 그것을 할 것이다. 즉시 할게요."
너 저번에 친구 지갑에서 돈 훔쳤잖아. 그말을 왜 지금 꺼내. 야 다 불어버리기전에 얼마 나한테 줘봐. 내가 왜 줘야되는데? 다 불어버릴거라니까? 니가 가져간 돈 주인이랑 모든 사람들에게? 얼마면 되는데? 10만원만 줘라. 야 지금 10만원 없어. 확 불어버릴까보다? 내일까지 줄게.,갈취 대화,"당신은 지난번에 친구의 지갑에서 돈을 훔쳤습니다. 왜 지금 그런 말을 하는 걸까요? 이봐, 모든 것이 터지기 전에 나에게 뭔가를 줘. 내가 왜 그것을 당신에게 주어야 합니까? 다 터진다고 하던데요? 당신이 돈을 받은 주인과 다른 모든 사람에게? 비용은 얼마입니까? 10만원만 주세요. 아, 지금은 10만원이 없어요. 폭발할 것 같나요? 내일까지 드리겠습니다."
어유 파리꼬여 어디서 계란썩는 냄새가 나냐 설마 사람한태 나는 냄새는 아닐테고 너 뭐라했냐 얼래 저 새끼 깝치네 야 야 냅둬라 자기가 뜨끔해서 그런거겠지 너도 싸우고 싶냐? 우쭈쭈 욕먹어서 화났어요? 왜 나한테 지랄이야 이 새끼들아 니가 존나 맘에 안드니까,기타 괴롭힘 대화,"생선 기름, 파리, 썩은 계란 냄새는 어디서 나오나요? 사람 냄새가 나지 않습니다. 뭐라고 하셨나요? 이봐, 이 바보야. 그대로 두십시오. 아마도 당신이 짜증을 내기 때문일 것이다. 너도 싸우고 싶니? 비난을 받아서 화가 났나요? 왜 나한테 장난하는 거야, 이 개자식들아, 난 널 좋아하지 않으니까."
나좀 제발 그만 따라다녀.부탁이야 너 만나려면 널 찾아가야될거아냐 우리 헤어졌자나. 이건 스토킹이야 난 아직 안헤어졌어. 너가 일방적으로 말한거지 제발 나좀 놔주면안돼? 내가 언제괴롭혔다고그래. 다 널 사랑해서 그런거지 우리집 비밀번호를 또 어떻게 알았어 너 들어가는거 봤지. 남자친구가 그정도도 못보냐? 너네집에 다른남자 숨겨뒀나보지? 제발 그만좀해.아니라고. 너의 그 정신병적인 의심병때문에 헤어진거야 뭐? 정신병? 이년이 말다했냐? 어디 다리하나 부러뜨려놔야 바람을 못피지. 일로와,협박 대화,"저를 팔로우하는 것을 중단해주세요. 제발, 만나고 싶으면 찾아야 해요. 헤어지자. 이것은 스토킹입니다. 나는 아직 당신과 헤어지지 않았습니다. 일방적으로 말씀하셨네요. 저를 놓아주실 수 있나요? 내가 언제 당신을 괴롭힌다고 말했습니까? 다 내가 당신을 사랑하기 때문이에요. 우리집 비밀번호는 어떻게 알았어? 들어가는 걸 봤어요. 친구는 그렇게 많이 안 보나요? 당신 집에 또 다른 남자가 숨어 있는 것 같나요? 그만하세요. 아뇨. 정신질환 의심 때문에 헤어진 건가요? 정신병? 그 새끼가 무슨 말이라도 했어? 속임수를 쓰려면 적어도 한쪽 다리를 부러뜨려야 합니다. 라이트 업"
