idx,class,conversation,keywords,persona,generated_conversation
10,갈취 대화,"네 뭐 드릴까요?
말보르 레드 하나.
네. 여기요!
여기 사장은 없어?
네 사장님 지금 안계세요. 뭐 .찾으세요?
지금부터 내 말 잘들어. 여기 주머니에 있는 돈 다 담아.
 네?? 왜 이러세요!!
 입닥쳐. 빨리 사람 오기전에 돈이나 쓸어담어.
 .살려만 주세요 제발
 제대로 안하면 패버릴거니까 빨리빨리 해라.
네.여기요.
진작 이렇게 빨리 줄것이지. 경찰 신고하면 알지?","사장
주머니
경찰","사원, 경찰
상사와 사원, 경찰과 사원
사무실, 경찰서","오, 사장님! 오늘도 잘 지내셨나요?
네, 잘 지냅니다. 어제 저녁에 주머니에서 한 달을 찾았어요? 
그럼, 왜 그러니까요?
  아마 나중에 세금 청구해야 하는 거예요. 내일 신고하겠습니다.
맞아요, 꼭 신고하시면 좋겠네요. 또 다른 문제는 없으신가요?
? 어제 경비원에게 보낸 시간이 너무 길었어요.
? 어떤 이유가 있나요?
    그 님이 도움이 되지 않아요.
그게 맞습니다. 계속 말하고 싶은 게 많지만, 시간이 많이 걸려서...
이해합니다. 다음에는 더 짧게 하세요."
11,직장 내 괴롭힘 대화,"이대리 오늘 도대체 뭘한거야?
창고정리도 하고 바닥도 청소했습니다
이게 한거니?
네 열심히 했습니다
왜 이건 복사 안해놨니?
아까 하라고 안하셨는데요
내가? 아까 말했는데 너가 못들었어 귀 이니?
아닙니다. 지금 당장 하겠습니다
물도 새로 받아와 이걸 먹으라고 한거니?
죄송합니다","대리
창고
복사","대리
동료, 상사
창고","오, 이 창고에서 복사를 하면서도 여전히 바쁘다고 하셨어요?
네, 그만큼 많은 일을 하고 있지만, 동료분들이 항상 내일이 될 것 같아요.
그리고 어떤 업무가 더 많이 필요하시나요? 도와드릴까요?
  오늘은 주말에도 시간을 잡아줬으면 좋겠네요.
  잘 부탁드립니다. 우선 몇 가지 중요한 업무를 먼저 처리해 보겠습니다. 
감사합니다."
12,협박 대화,"네네 무슨 일 때문에 전화주셨나요?
우리 애가 지우개 하나 훔친거 가지고 애들 앞에서 면박줬니?
그런게 아니고 댁 내 따님분이 한 두번 훔친것도 아니고 여러번 훔친 게 확인 되어서 경찰부르는건 너무 심할거 같아서 꾸중 한 마디 한겁니다.
아니 그 구멍가게 물건이 얼마 한다고 그러냐고 내 애가 맨날 훔친거 확실해?
네 본 애들도 있고 확실합니다
됐고 내 애 울면서 하교 했어 이번 일 각오하는 게 좋을거야 너도 애 있다며?
제 애까지 끌어들이지 마세요
내 애도 울면서 들어왔는데 그냥 못 넘어가 니 애 죽여버릴거야
이러지 마세요 저도 곤란합니다. 단지 교육 차원에서 한 마디 했을 뿐이라고요
됐고 아 저기 네 애 보이네 죽여버릴테니까 니 아들 죽은거 보고 그때 반성해 남 애 함부로 울리면 어떻게 되는지","전화
애
구멍",", 
","애, 이 구멍이 얼마나 깁니까?
아, 약 5 정도예요. 그만큼 큰 문제는 아니지만, 너무 깔끔히 가려면 한 번 더 보아야 할 것 같아요.
네, 가볍게 다듬어보겠습니다. 나중에 다시 확인하겠습니다.
좋습니다. 그리고 이 주변에 뚫린 부분도 잘 살펴볼게요."
13,갈취 대화,"형! 형! 돈좀있어?
저 저요.?
여기 형말고 누가 있어? 형 얼마 있어?
저.저.돈 없어요.근데.제가 왜 형이에요?
에이 잘 생겼으니까 형이지. 형 돈 좀만 주면 안때릴게 좀만 줘봐. 돈 많게 생겼네
저 진짜 현금 없어요.진짜요.놔주세요.
에이 지갑 주머니에 있네! 내가 지갑 뒤져봐도 돼? 뒤져서 나오면 어떻게 하려고? 그냥 줘
저 진짜로 없어요.죄송해요.
나 진짜 지갑 연다? 내가 말로만 이러니까 우스워?
지갑에도 돈 없어요 죄송해요.","돈
형
지갑","형 
","아, 형, 이 주말에는 어떻게 ? 
어서 오면 저는 지갑을 다 털고 있어. 
그럼 왜 이렇게 많아? 
   물론이 아니지만 
? 나도를 많이 쌓아두려 해. 
    그래, 너무 힘들게 하라. 
. 하지만 돈이 없으면 할 수 없는 거잖아. 
     맞아, 고민하네. 
      . 그리고 나중에 결혼하면 더 필요할 거야. 
        . 네, 꼭 준비해야겠어."
14,직장 내 괴롭힘 대화,"김사원
대리님 왜 그러세요?
이거 오늘까지 제출해야 하는데 좀 해줄래?
네? 저도 해야 할 일이 많아서요.
아니 좀 도와달라잖아 그것도 못 해줘?
저도 도와드리고 싶은데 할 일이 많아서요.
너랑 나랑 얼굴 맞대고 일해야 하는데 감당할 수 있겠어?
네?
감당할 수 있으면 하지 말든가
아닙니다 제가 하겠습니다.","김사원
대리님
일","사원, 대리
상사, 부서장
","대리님, 오늘도 힘들었나요?
아, 그만큼 업무가 많아요. 이  에서 중요한 내용이 많이 나올 것 같아요. 
그럼 어떤 것이죠? 
전달 받았던 보고서 수정을 위해 한 달간의 데이터 분석 결과가 포함될 거예요. 
    그래, 잘 하시면 되겠습니다. 
  네, 감사합니다. 
그리고 회사의 새로운 프로젝트가 준비되었습니다. 어떤 주제인지 알려주시겠어요? 
    네,    로 나와 있습니다. 
     좋습니다. 이 프로젝트는 어떻게 진행하시는지 알려주세요. 
      첫 번째 단계는  를 통해 고객 의견을 수집하려고 합니다. 
       그럴 때에도 저에게 연락하실 건가요? 
        맞습니다. 필요하면 언제든지 연락해 주세요. 
         고마워요."
15,갈취 대화,"야 너 휴대폰좀 빌려줘봐
안돼. 지난달에도 휴대폰 요금이 너무 많이 나와서 엄마한테 혼났어.
알 바야? 닥치고 폰이나 내놔 
폰 주면 또 결제하려고 그러지? 
응 게임 캐시 다떨어져서 충전좀
안돼 진짜.
맞고 줄래 그냥 줄래?
진짜 한번만 더 결제한거 들켰다가는 휴대폰 뺏길지도 몰라
아 씨 오늘따라 왜이렇게 말이 많아 당장 안내놔?
제발.","휴대폰
요금
결제","아빠엄마, 자녀 아들
집","엄마, 오늘 요금이 너무 비싸서 고민을 하게 되더라고요?
네가 잘 지내는 거 보니 이만큼으로 충분한 것 같아. 집에서 어떻게 살고 계냐? 
그럼에도 불구하고 요금은 여전히 많이 나와. 엄마, 우리가 더  이면 좋겠네.
는 중요하지만, 중요한 건 가족과 함께 시간 보내는 거야. 주말에는 우리도 같이 가볼까?
그래, 어릴 때는 정말 좋은 추억들이 많았지만... 요즘은 바쁘니까.
  네가 생각해도 좋지만, 엄마와 함께 할 때는 마음이 편안해질 거야. 지금에선 우리가 라면 문제 없잖아.
네 말은 맞아. 하지만 요금 때문에 걱정되는데...
우리는 한 번에 해결하면 돼. 나중에 우리가 함께 해결하도록 해."
16,갈취 대화,"잠깐만 거기 학생 
예? 저 부르셨너요?
그럼 누구겠어 
왜부르시죠
내가 지갑을 잃어버려서 돈이없다 돈좀 있녀 
아니요 현금없어요 
주머니에 있는거 열어봐 
이건 안되요 
그건 내가 판단해 내놔봐 
이건 제돈아니에요 
이리 안줘? 좀 맞을래? 
그건 정말 제돈 아니에요","학생
저
돈",,"어제 학교에서 친구들과 함께 공부하던데, 이달 말에 졸업식이 다가왔어요?
맞아요? 그럼 내년에는 대학 입학을 준비해야 해요?
네, 제가도 준비해야겠네요. 하지만 저는 여전히 돈이 부족해요. 어떻게 하면 자금을 모아낼까요?
우리도 한 문제라서 가끔씩 합류해서  하면서 공부하면 되죠? 
, ! 다음 주말에 만날래요. 
오, 좋습니다. 그리고, 오늘은 시간이 한 거예요. 잘 나와요!
, !"
17,갈취 대화,"얼마 가져왔어?
십만원 정도.
야 이걸로 새 폰을 어떻게 사
이게 최선이었어.
그럼 최선을 다해 맞자 너
제발 때리지만 마!
그럼 내일까지 3배로 만들어 와
그걸 어떻게.
아 그건 네가 생각해야지
말도 안돼.","폰
새
시간","대화 주인공은 입니다.
대화 주인공과 상대방의 관계는 부모와 자녀, 또는 동료들 사이입니다.
대화 장","안녕하세요, 엄마. 오늘 새벽에 깨어났어요? 
오, 아빠도 같이 깨어있었는데요. 왜 이렇게 늦게   한 거예요?
이       . 
   .         . 
,  .     ? 
       .      . 
    !         ? 
   ,  .    ? 
    ...      ? 
     !
,         .  !
 , .      !
   .  !       !
   , .  !"
18,기타 괴롭힘 대화,"야 너이마빡에 빛이난다
어?
야 한대만 때려보자 퍽
아 흑 왜그래 
아팠어? 빛이나길래 두드려봤다 가만히있어봐 퍽퍽 야 두드리니깐 열리겠는데? 빛이 나다 열리나? 
뭔소리야 저리치워 
너 서운하게 왜그러냐 친구사이에 퍽퍽퍽 
야 너 미쳤어? 
야 광이난다 이마빡 참 예뻐 
흑흑흑","광
일
서운",,"날씨가 서운하네, 오늘도 비가 내릴 것 같아?
맞아, 오늘 기온이 많이 떨어졌어. 나중에 집에서 따뜻한 차 한 잔 마셔보면 좋겠어?"
19,직장 내 괴롭힘 대화,"나씨 정수기 물탱크 좀 갈아주시겠어요?
싫습니다. 물 저만 마시는 것도 아닌데 매번 저만 하잖아요.
나씨가 저희 부서 유일한 남자직원이잖아요.
그러니까요 저 일꾼 아니고 직원입니다.
그래서 못해주겠다는 건가요?
그런게 아니고 매번 저만 물탱크 갈고 짐 나르는데 부당하다는 겁니다.
나씨가 남자직원이니까 힘도 제일 세고 먹는 양도 저희 여직원보다 더 많을 거 아니에요?
저 정수기 거의 안씁니다. 물 싸가지고 다녀요.
하 그러고도 이 팀에서 잘 어울릴 수 있을까요?
왕따시키겠다는거에요?","정수기
팀
직원","직원, 일꾼
팀 동료, 상사
회사","저는 오늘 정수기를 하면서도 생각이 많습니다. 
정말? 왜 요?
예, 우리 팀에서 이번 프로젝트를 잘 풀면 회사에서도 인사를 받을 것 같아요.
그럼 다들 어떻게 준비하고 계세요?
  저도 잘했어요. 하지만 이정도만 하면 충분하다고 느끼고 있어요.
  그렇다면 나머지는 내가 도와줄게요.
고마워! 서로 지원하면 더 좋겠네요.
."
20,협박 대화,"너가 민수라는 남자 제자니?
네 맞는데요 왜 그러시죠? 혹시 저희 선생님께 무슨 일 생겼나요?
무슨 일은 그냥 선생님 콩팥 하나 정도 가져가려고
네.? 장난치시지 마세요. 장난이 너무 심하신 거 아니신가요?
아 어린애라 그런지 상황 판단 못하네 사진 보내 줄 테니 봐봐 장난인지 아닌지
어.? 왜 그러시는 건가요 신고 할 거예요 당장 신고 할 거예요.
신고해보던지 어딘지는 알고 신고하게?
저한테 원하시는 거 있으시면 최대한 할게요 선생님 해치지 말아주세요
그럼 내가 말하는 거 가져다 주기만 해 그러면 그냥 깔끔하게 끝날 일이야
그렇게 하도록 할게요 바로 할게요","민수
선생
사진","교사
학생, 제자
학교","민수, 오늘 사진을 찍고 싶었던 거예요? 
네, 선생님! 이곳에서 자주 오는 친구들과 함께 찍으면 좋겠어요. 
그럼 어떤 장면이  ?
저녁 식사를 할 때  한강 근처에서 산책할 때 등으로 고민중이에요.
하하, 생각해 보라구요. 오늘 점심 시간에 가서 찍어보자. 
좋은 아이디어네요, 선생님!
그리고, 민수, 어제도 잘 지내셨나요?
잘 지냈어요. 주말에는 집에만 있었습니다. 
  주말에 가방을 비우지 않았어? 
  아니요, 선. 집에 다녀왔습니다.
  그럼 가방 안에 뭐 있었죠?
  예전과 같은 책이나 영화  등이 있을 것 같아요. 
  아, 나도 그  많이 가지고 있어. 
 하하하, 우리도 같이 나눠보자.
 , ."
21,갈취 대화,"너 저번에 친구 지갑에서 돈 훔쳤잖아.
그말을 왜 지금 꺼내.
야 다 불어버리기전에 얼마 나한테 줘봐.
내가 왜 줘야되는데?
다 불어버릴거라니까? 니가 가져간 돈 주인이랑 모든 사람들에게?
얼마면 되는데?
10만원만 줘라.
야 지금 10만원 없어.
확 불어버릴까보다?
내일까지 줄게.","돈
친구
주인","친구 

친구 

지금","저, 이 주말에 어떻게 보내고 계세요?
그럼? 나도 잘 보내고 있습니다. 집에서만 있으니, 어때요?
어때? 집에서 자랑할 거예요. 제가 가방을 보니, 예전에는 한 번 더 가지고 있었는데, 이제는 어디서 버려졌는지 기억이 안 나네요. 어쩐 죠?
네가 할머니의 집에서 찾으려고 했던 것 같아요. 그게 맞나요?
  맞습니다! 할머니가 죽었어요. 그 때에 내일과 함께 가면 좋았겠더라고요. 하지만 지금은 너무 힘들었습니다.
아, 정말 운 일이네요. 할머니와 같이 가면 더 좋은 추억을 만들었을 텐데...
네 말처럼, 그 때는 많이 다가올 거예용. 다음 시간에 가보면 되겠죠?
 , 다음 시간엔  가볼게요. 그리고 이건 나중에   하겠습니다."
22,기타 괴롭힘 대화,"어유 파리꼬여 어디서 계란썩는 냄새가 나냐 설마 사람한태 나는 냄새는 아닐테고
너 뭐라했냐 
얼래 저 새끼 깝치네
야 야 냅둬라 자기가 뜨끔해서 그런거겠지
너도 싸우고 싶냐?
우쭈쭈 욕먹어서 화났어요?
왜 나한테 지랄이야 이 새끼들아
니가 존나 맘에 안드니까","파리
계란
냄새","친구, 남편남자
집","네, 오늘 아침이 잘 되셨어요?
네. 오늘은 집에서만 있으니 계란 한 개 구입하고 싶었는데, 이 냄새가 너무 심해요.
그럼 어떤 냄세일까요? 아마는 계란을 해서 먹고 있었겠죠?
? 네, 맞아요. 저는 그게 나쁜 냄소라고 생각했어요. 어때요?
오, 그런 거면 우리 식구들을 모두 불러 보겠습니다.
고마워요. 요즘도 바쁘지만 도와 주실 거예요.
. 그리고, 이   가서 파리를 드릴래요?
. 네, 좋습니다. 맛있게 즐거워요.
. 계란의 냄소를 제대로 지우려면 더 많이 해볼 필요가 있을 것 같아요.
? 네.  부터 더 신경 써 보겠습니다."
